second_of_day,second,minute_of_day,minute,hour,hour12,am_pm,time,time12
54,54,00,00,00,00,AM,00:00:54,00:00:54
55,55,00,00,00,00,AM,00:00:55,00:00:55
56,56,00,00,00,00,AM,00:00:56,00:00:56
57,57,00,00,00,00,AM,00:00:57,00:00:57
58,58,00,00,00,00,AM,00:00:58,00:00:58
59,59,00,00,00,00,AM,00:00:59,00:00:59
60,00,01,01,00,00,AM,00:01:00,00:01:00
61,01,01,01,00,00,AM,00:01:01,00:01:01
62,02,01,01,00,00,AM,00:01:02,00:01:02
63,03,01,01,00,00,AM,00:01:03,00:01:03
64,04,01,01,00,00,AM,00:01:04,00:01:04
65,05,01,01,00,00,AM,00:01:05,00:01:05
66,06,01,01,00,00,AM,00:01:06,00:01:06
67,07,01,01,00,00,AM,00:01:07,00:01:07
68,08,01,01,00,00,AM,00:01:08,00:01:08
69,09,01,01,00,00,AM,00:01:09,00:01:09
70,10,01,01,00,00,AM,00:01:10,00:01:10
71,11,01,01,00,00,AM,00:01:11,00:01:11
72,12,01,01,00,00,AM,00:01:12,00:01:12
73,13,01,01,00,00,AM,00:01:13,00:01:13
74,14,01,01,00,00,AM,00:01:14,00:01:14
75,15,01,01,00,00,AM,00:01:15,00:01:15
76,16,01,01,00,00,AM,00:01:16,00:01:16
77,17,01,01,00,00,AM,00:01:17,00:01:17
78,18,01,01,00,00,AM,00:01:18,00:01:18
79,19,01,01,00,00,AM,00:01:19,00:01:19
80,20,01,01,00,00,AM,00:01:20,00:01:20
81,21,01,01,00,00,AM,00:01:21,00:01:21
82,22,01,01,00,00,AM,00:01:22,00:01:22
83,23,01,01,00,00,AM,00:01:23,00:01:23
84,24,01,01,00,00,AM,00:01:24,00:01:24
85,25,01,01,00,00,AM,00:01:25,00:01:25
86,26,01,01,00,00,AM,00:01:26,00:01:26
87,27,01,01,00,00,AM,00:01:27,00:01:27
88,28,01,01,00,00,AM,00:01:28,00:01:28
89,29,01,01,00,00,AM,00:01:29,00:01:29
90,30,01,01,00,00,AM,00:01:30,00:01:30
91,31,01,01,00,00,AM,00:01:31,00:01:31
92,32,01,01,00,00,AM,00:01:32,00:01:32
93,33,01,01,00,00,AM,00:01:33,00:01:33
94,34,01,01,00,00,AM,00:01:34,00:01:34
95,35,01,01,00,00,AM,00:01:35,00:01:35
96,36,01,01,00,00,AM,00:01:36,00:01:36
97,37,01,01,00,00,AM,00:01:37,00:01:37
98,38,01,01,00,00,AM,00:01:38,00:01:38
99,39,01,01,00,00,AM,00:01:39,00:01:39
100,40,01,01,00,00,AM,00:01:40,00:01:40
101,41,01,01,00,00,AM,00:01:41,00:01:41
102,42,01,01,00,00,AM,00:01:42,00:01:42
103,43,01,01,00,00,AM,00:01:43,00:01:43
104,44,01,01,00,00,AM,00:01:44,00:01:44
105,45,01,01,00,00,AM,00:01:45,00:01:45
106,46,01,01,00,00,AM,00:01:46,00:01:46
107,47,01,01,00,00,AM,00:01:47,00:01:47
108,48,01,01,00,00,AM,00:01:48,00:01:48
109,49,01,01,00,00,AM,00:01:49,00:01:49
110,50,01,01,00,00,AM,00:01:50,00:01:50
111,51,01,01,00,00,AM,00:01:51,00:01:51
112,52,01,01,00,00,AM,00:01:52,00:01:52
113,53,01,01,00,00,AM,00:01:53,00:01:53
114,54,01,01,00,00,AM,00:01:54,00:01:54
115,55,01,01,00,00,AM,00:01:55,00:01:55
116,56,01,01,00,00,AM,00:01:56,00:01:56
117,57,01,01,00,00,AM,00:01:57,00:01:57
118,58,01,01,00,00,AM,00:01:58,00:01:58
119,59,01,01,00,00,AM,00:01:59,00:01:59
120,00,02,02,00,00,AM,00:02:00,00:02:00
121,01,02,02,00,00,AM,00:02:01,00:02:01
122,02,02,02,00,00,AM,00:02:02,00:02:02
123,03,02,02,00,00,AM,00:02:03,00:02:03
124,04,02,02,00,00,AM,00:02:04,00:02:04
125,05,02,02,00,00,AM,00:02:05,00:02:05
126,06,02,02,00,00,AM,00:02:06,00:02:06
127,07,02,02,00,00,AM,00:02:07,00:02:07
128,08,02,02,00,00,AM,00:02:08,00:02:08
129,09,02,02,00,00,AM,00:02:09,00:02:09
130,10,02,02,00,00,AM,00:02:10,00:02:10
131,11,02,02,00,00,AM,00:02:11,00:02:11
132,12,02,02,00,00,AM,00:02:12,00:02:12
133,13,02,02,00,00,AM,00:02:13,00:02:13
134,14,02,02,00,00,AM,00:02:14,00:02:14
135,15,02,02,00,00,AM,00:02:15,00:02:15
136,16,02,02,00,00,AM,00:02:16,00:02:16
137,17,02,02,00,00,AM,00:02:17,00:02:17
138,18,02,02,00,00,AM,00:02:18,00:02:18
139,19,02,02,00,00,AM,00:02:19,00:02:19
140,20,02,02,00,00,AM,00:02:20,00:02:20
141,21,02,02,00,00,AM,00:02:21,00:02:21
142,22,02,02,00,00,AM,00:02:22,00:02:22
143,23,02,02,00,00,AM,00:02:23,00:02:23
144,24,02,02,00,00,AM,00:02:24,00:02:24
145,25,02,02,00,00,AM,00:02:25,00:02:25
146,26,02,02,00,00,AM,00:02:26,00:02:26
147,27,02,02,00,00,AM,00:02:27,00:02:27
148,28,02,02,00,00,AM,00:02:28,00:02:28
149,29,02,02,00,00,AM,00:02:29,00:02:29
150,30,02,02,00,00,AM,00:02:30,00:02:30
151,31,02,02,00,00,AM,00:02:31,00:02:31
152,32,02,02,00,00,AM,00:02:32,00:02:32
153,33,02,02,00,00,AM,00:02:33,00:02:33
154,34,02,02,00,00,AM,00:02:34,00:02:34
155,35,02,02,00,00,AM,00:02:35,00:02:35
156,36,02,02,00,00,AM,00:02:36,00:02:36
157,37,02,02,00,00,AM,00:02:37,00:02:37
158,38,02,02,00,00,AM,00:02:38,00:02:38
159,39,02,02,00,00,AM,00:02:39,00:02:39
160,40,02,02,00,00,AM,00:02:40,00:02:40
161,41,02,02,00,00,AM,00:02:41,00:02:41
162,42,02,02,00,00,AM,00:02:42,00:02:42
163,43,02,02,00,00,AM,00:02:43,00:02:43
164,44,02,02,00,00,AM,00:02:44,00:02:44
165,45,02,02,00,00,AM,00:02:45,00:02:45
166,46,02,02,00,00,AM,00:02:46,00:02:46
167,47,02,02,00,00,AM,00:02:47,00:02:47
168,48,02,02,00,00,AM,00:02:48,00:02:48
169,49,02,02,00,00,AM,00:02:49,00:02:49
170,50,02,02,00,00,AM,00:02:50,00:02:50
171,51,02,02,00,00,AM,00:02:51,00:02:51
172,52,02,02,00,00,AM,00:02:52,00:02:52
173,53,02,02,00,00,AM,00:02:53,00:02:53
174,54,02,02,00,00,AM,00:02:54,00:02:54
175,55,02,02,00,00,AM,00:02:55,00:02:55
176,56,02,02,00,00,AM,00:02:56,00:02:56
177,57,02,02,00,00,AM,00:02:57,00:02:57
178,58,02,02,00,00,AM,00:02:58,00:02:58
179,59,02,02,00,00,AM,00:02:59,00:02:59
180,00,03,03,00,00,AM,00:03:00,00:03:00
181,01,03,03,00,00,AM,00:03:01,00:03:01
182,02,03,03,00,00,AM,00:03:02,00:03:02
183,03,03,03,00,00,AM,00:03:03,00:03:03
184,04,03,03,00,00,AM,00:03:04,00:03:04
185,05,03,03,00,00,AM,00:03:05,00:03:05
186,06,03,03,00,00,AM,00:03:06,00:03:06
187,07,03,03,00,00,AM,00:03:07,00:03:07
188,08,03,03,00,00,AM,00:03:08,00:03:08
189,09,03,03,00,00,AM,00:03:09,00:03:09
190,10,03,03,00,00,AM,00:03:10,00:03:10
191,11,03,03,00,00,AM,00:03:11,00:03:11
192,12,03,03,00,00,AM,00:03:12,00:03:12
193,13,03,03,00,00,AM,00:03:13,00:03:13
194,14,03,03,00,00,AM,00:03:14,00:03:14
195,15,03,03,00,00,AM,00:03:15,00:03:15
196,16,03,03,00,00,AM,00:03:16,00:03:16
197,17,03,03,00,00,AM,00:03:17,00:03:17
198,18,03,03,00,00,AM,00:03:18,00:03:18
199,19,03,03,00,00,AM,00:03:19,00:03:19
200,20,03,03,00,00,AM,00:03:20,00:03:20
201,21,03,03,00,00,AM,00:03:21,00:03:21
202,22,03,03,00,00,AM,00:03:22,00:03:22
203,23,03,03,00,00,AM,00:03:23,00:03:23
204,24,03,03,00,00,AM,00:03:24,00:03:24
205,25,03,03,00,00,AM,00:03:25,00:03:25
206,26,03,03,00,00,AM,00:03:26,00:03:26
207,27,03,03,00,00,AM,00:03:27,00:03:27
208,28,03,03,00,00,AM,00:03:28,00:03:28
209,29,03,03,00,00,AM,00:03:29,00:03:29
210,30,03,03,00,00,AM,00:03:30,00:03:30
211,31,03,03,00,00,AM,00:03:31,00:03:31
212,32,03,03,00,00,AM,00:03:32,00:03:32
213,33,03,03,00,00,AM,00:03:33,00:03:33
214,34,03,03,00,00,AM,00:03:34,00:03:34
215,35,03,03,00,00,AM,00:03:35,00:03:35
216,36,03,03,00,00,AM,00:03:36,00:03:36
217,37,03,03,00,00,AM,00:03:37,00:03:37
218,38,03,03,00,00,AM,00:03:38,00:03:38
219,39,03,03,00,00,AM,00:03:39,00:03:39
220,40,03,03,00,00,AM,00:03:40,00:03:40
221,41,03,03,00,00,AM,00:03:41,00:03:41
222,42,03,03,00,00,AM,00:03:42,00:03:42
223,43,03,03,00,00,AM,00:03:43,00:03:43
224,44,03,03,00,00,AM,00:03:44,00:03:44
225,45,03,03,00,00,AM,00:03:45,00:03:45
226,46,03,03,00,00,AM,00:03:46,00:03:46
227,47,03,03,00,00,AM,00:03:47,00:03:47
228,48,03,03,00,00,AM,00:03:48,00:03:48
229,49,03,03,00,00,AM,00:03:49,00:03:49
230,50,03,03,00,00,AM,00:03:50,00:03:50
231,51,03,03,00,00,AM,00:03:51,00:03:51
232,52,03,03,00,00,AM,00:03:52,00:03:52
233,53,03,03,00,00,AM,00:03:53,00:03:53
234,54,03,03,00,00,AM,00:03:54,00:03:54
235,55,03,03,00,00,AM,00:03:55,00:03:55
236,56,03,03,00,00,AM,00:03:56,00:03:56
237,57,03,03,00,00,AM,00:03:57,00:03:57
238,58,03,03,00,00,AM,00:03:58,00:03:58
239,59,03,03,00,00,AM,00:03:59,00:03:59
240,00,04,04,00,00,AM,00:04:00,00:04:00
241,01,04,04,00,00,AM,00:04:01,00:04:01
242,02,04,04,00,00,AM,00:04:02,00:04:02
243,03,04,04,00,00,AM,00:04:03,00:04:03
244,04,04,04,00,00,AM,00:04:04,00:04:04
245,05,04,04,00,00,AM,00:04:05,00:04:05
246,06,04,04,00,00,AM,00:04:06,00:04:06
247,07,04,04,00,00,AM,00:04:07,00:04:07
248,08,04,04,00,00,AM,00:04:08,00:04:08
249,09,04,04,00,00,AM,00:04:09,00:04:09
250,10,04,04,00,00,AM,00:04:10,00:04:10
251,11,04,04,00,00,AM,00:04:11,00:04:11
252,12,04,04,00,00,AM,00:04:12,00:04:12
253,13,04,04,00,00,AM,00:04:13,00:04:13
254,14,04,04,00,00,AM,00:04:14,00:04:14
255,15,04,04,00,00,AM,00:04:15,00:04:15
256,16,04,04,00,00,AM,00:04:16,00:04:16
257,17,04,04,00,00,AM,00:04:17,00:04:17
258,18,04,04,00,00,AM,00:04:18,00:04:18
259,19,04,04,00,00,AM,00:04:19,00:04:19
260,20,04,04,00,00,AM,00:04:20,00:04:20
261,21,04,04,00,00,AM,00:04:21,00:04:21
262,22,04,04,00,00,AM,00:04:22,00:04:22
263,23,04,04,00,00,AM,00:04:23,00:04:23
264,24,04,04,00,00,AM,00:04:24,00:04:24
265,25,04,04,00,00,AM,00:04:25,00:04:25
266,26,04,04,00,00,AM,00:04:26,00:04:26
267,27,04,04,00,00,AM,00:04:27,00:04:27
268,28,04,04,00,00,AM,00:04:28,00:04:28
269,29,04,04,00,00,AM,00:04:29,00:04:29
270,30,04,04,00,00,AM,00:04:30,00:04:30
271,31,04,04,00,00,AM,00:04:31,00:04:31
272,32,04,04,00,00,AM,00:04:32,00:04:32
273,33,04,04,00,00,AM,00:04:33,00:04:33
274,34,04,04,00,00,AM,00:04:34,00:04:34
275,35,04,04,00,00,AM,00:04:35,00:04:35
276,36,04,04,00,00,AM,00:04:36,00:04:36
277,37,04,04,00,00,AM,00:04:37,00:04:37
278,38,04,04,00,00,AM,00:04:38,00:04:38
279,39,04,04,00,00,AM,00:04:39,00:04:39
280,40,04,04,00,00,AM,00:04:40,00:04:40
281,41,04,04,00,00,AM,00:04:41,00:04:41
282,42,04,04,00,00,AM,00:04:42,00:04:42
283,43,04,04,00,00,AM,00:04:43,00:04:43
284,44,04,04,00,00,AM,00:04:44,00:04:44
285,45,04,04,00,00,AM,00:04:45,00:04:45
286,46,04,04,00,00,AM,00:04:46,00:04:46
287,47,04,04,00,00,AM,00:04:47,00:04:47
288,48,04,04,00,00,AM,00:04:48,00:04:48
289,49,04,04,00,00,AM,00:04:49,00:04:49
290,50,04,04,00,00,AM,00:04:50,00:04:50
291,51,04,04,00,00,AM,00:04:51,00:04:51
292,52,04,04,00,00,AM,00:04:52,00:04:52
293,53,04,04,00,00,AM,00:04:53,00:04:53
294,54,04,04,00,00,AM,00:04:54,00:04:54
295,55,04,04,00,00,AM,00:04:55,00:04:55
296,56,04,04,00,00,AM,00:04:56,00:04:56
297,57,04,04,00,00,AM,00:04:57,00:04:57
298,58,04,04,00,00,AM,00:04:58,00:04:58
299,59,04,04,00,00,AM,00:04:59,00:04:59
300,00,05,05,00,00,AM,00:05:00,00:05:00
301,01,05,05,00,00,AM,00:05:01,00:05:01
302,02,05,05,00,00,AM,00:05:02,00:05:02
303,03,05,05,00,00,AM,00:05:03,00:05:03
304,04,05,05,00,00,AM,00:05:04,00:05:04
305,05,05,05,00,00,AM,00:05:05,00:05:05
306,06,05,05,00,00,AM,00:05:06,00:05:06
307,07,05,05,00,00,AM,00:05:07,00:05:07
308,08,05,05,00,00,AM,00:05:08,00:05:08
309,09,05,05,00,00,AM,00:05:09,00:05:09
310,10,05,05,00,00,AM,00:05:10,00:05:10
311,11,05,05,00,00,AM,00:05:11,00:05:11
312,12,05,05,00,00,AM,00:05:12,00:05:12
313,13,05,05,00,00,AM,00:05:13,00:05:13
314,14,05,05,00,00,AM,00:05:14,00:05:14
315,15,05,05,00,00,AM,00:05:15,00:05:15
316,16,05,05,00,00,AM,00:05:16,00:05:16
317,17,05,05,00,00,AM,00:05:17,00:05:17
318,18,05,05,00,00,AM,00:05:18,00:05:18
319,19,05,05,00,00,AM,00:05:19,00:05:19
320,20,05,05,00,00,AM,00:05:20,00:05:20
321,21,05,05,00,00,AM,00:05:21,00:05:21
322,22,05,05,00,00,AM,00:05:22,00:05:22
323,23,05,05,00,00,AM,00:05:23,00:05:23
324,24,05,05,00,00,AM,00:05:24,00:05:24
325,25,05,05,00,00,AM,00:05:25,00:05:25
326,26,05,05,00,00,AM,00:05:26,00:05:26
327,27,05,05,00,00,AM,00:05:27,00:05:27
328,28,05,05,00,00,AM,00:05:28,00:05:28
329,29,05,05,00,00,AM,00:05:29,00:05:29
330,30,05,05,00,00,AM,00:05:30,00:05:30
331,31,05,05,00,00,AM,00:05:31,00:05:31
332,32,05,05,00,00,AM,00:05:32,00:05:32
333,33,05,05,00,00,AM,00:05:33,00:05:33
334,34,05,05,00,00,AM,00:05:34,00:05:34
335,35,05,05,00,00,AM,00:05:35,00:05:35
336,36,05,05,00,00,AM,00:05:36,00:05:36
337,37,05,05,00,00,AM,00:05:37,00:05:37
338,38,05,05,00,00,AM,00:05:38,00:05:38
339,39,05,05,00,00,AM,00:05:39,00:05:39
340,40,05,05,00,00,AM,00:05:40,00:05:40
341,41,05,05,00,00,AM,00:05:41,00:05:41
342,42,05,05,00,00,AM,00:05:42,00:05:42
343,43,05,05,00,00,AM,00:05:43,00:05:43
344,44,05,05,00,00,AM,00:05:44,00:05:44
345,45,05,05,00,00,AM,00:05:45,00:05:45
346,46,05,05,00,00,AM,00:05:46,00:05:46
347,47,05,05,00,00,AM,00:05:47,00:05:47
348,48,05,05,00,00,AM,00:05:48,00:05:48
349,49,05,05,00,00,AM,00:05:49,00:05:49
350,50,05,05,00,00,AM,00:05:50,00:05:50
351,51,05,05,00,00,AM,00:05:51,00:05:51
352,52,05,05,00,00,AM,00:05:52,00:05:52
353,53,05,05,00,00,AM,00:05:53,00:05:53
354,54,05,05,00,00,AM,00:05:54,00:05:54
355,55,05,05,00,00,AM,00:05:55,00:05:55
356,56,05,05,00,00,AM,00:05:56,00:05:56
357,57,05,05,00,00,AM,00:05:57,00:05:57
358,58,05,05,00,00,AM,00:05:58,00:05:58
359,59,05,05,00,00,AM,00:05:59,00:05:59
360,00,06,06,00,00,AM,00:06:00,00:06:00
361,01,06,06,00,00,AM,00:06:01,00:06:01
362,02,06,06,00,00,AM,00:06:02,00:06:02
363,03,06,06,00,00,AM,00:06:03,00:06:03
364,04,06,06,00,00,AM,00:06:04,00:06:04
365,05,06,06,00,00,AM,00:06:05,00:06:05
366,06,06,06,00,00,AM,00:06:06,00:06:06
367,07,06,06,00,00,AM,00:06:07,00:06:07
368,08,06,06,00,00,AM,00:06:08,00:06:08
369,09,06,06,00,00,AM,00:06:09,00:06:09
370,10,06,06,00,00,AM,00:06:10,00:06:10
371,11,06,06,00,00,AM,00:06:11,00:06:11
372,12,06,06,00,00,AM,00:06:12,00:06:12
373,13,06,06,00,00,AM,00:06:13,00:06:13
374,14,06,06,00,00,AM,00:06:14,00:06:14
375,15,06,06,00,00,AM,00:06:15,00:06:15
376,16,06,06,00,00,AM,00:06:16,00:06:16
377,17,06,06,00,00,AM,00:06:17,00:06:17
378,18,06,06,00,00,AM,00:06:18,00:06:18
379,19,06,06,00,00,AM,00:06:19,00:06:19
380,20,06,06,00,00,AM,00:06:20,00:06:20
381,21,06,06,00,00,AM,00:06:21,00:06:21
382,22,06,06,00,00,AM,00:06:22,00:06:22
383,23,06,06,00,00,AM,00:06:23,00:06:23
384,24,06,06,00,00,AM,00:06:24,00:06:24
385,25,06,06,00,00,AM,00:06:25,00:06:25
386,26,06,06,00,00,AM,00:06:26,00:06:26
387,27,06,06,00,00,AM,00:06:27,00:06:27
388,28,06,06,00,00,AM,00:06:28,00:06:28
389,29,06,06,00,00,AM,00:06:29,00:06:29
390,30,06,06,00,00,AM,00:06:30,00:06:30
391,31,06,06,00,00,AM,00:06:31,00:06:31
392,32,06,06,00,00,AM,00:06:32,00:06:32
393,33,06,06,00,00,AM,00:06:33,00:06:33
394,34,06,06,00,00,AM,00:06:34,00:06:34
395,35,06,06,00,00,AM,00:06:35,00:06:35
396,36,06,06,00,00,AM,00:06:36,00:06:36
397,37,06,06,00,00,AM,00:06:37,00:06:37
398,38,06,06,00,00,AM,00:06:38,00:06:38
399,39,06,06,00,00,AM,00:06:39,00:06:39
400,40,06,06,00,00,AM,00:06:40,00:06:40
401,41,06,06,00,00,AM,00:06:41,00:06:41
402,42,06,06,00,00,AM,00:06:42,00:06:42
403,43,06,06,00,00,AM,00:06:43,00:06:43
404,44,06,06,00,00,AM,00:06:44,00:06:44
405,45,06,06,00,00,AM,00:06:45,00:06:45
406,46,06,06,00,00,AM,00:06:46,00:06:46
407,47,06,06,00,00,AM,00:06:47,00:06:47
408,48,06,06,00,00,AM,00:06:48,00:06:48
409,49,06,06,00,00,AM,00:06:49,00:06:49
410,50,06,06,00,00,AM,00:06:50,00:06:50
411,51,06,06,00,00,AM,00:06:51,00:06:51
412,52,06,06,00,00,AM,00:06:52,00:06:52
413,53,06,06,00,00,AM,00:06:53,00:06:53
414,54,06,06,00,00,AM,00:06:54,00:06:54
415,55,06,06,00,00,AM,00:06:55,00:06:55
416,56,06,06,00,00,AM,00:06:56,00:06:56
417,57,06,06,00,00,AM,00:06:57,00:06:57
418,58,06,06,00,00,AM,00:06:58,00:06:58
419,59,06,06,00,00,AM,00:06:59,00:06:59
420,00,07,07,00,00,AM,00:07:00,00:07:00
421,01,07,07,00,00,AM,00:07:01,00:07:01
422,02,07,07,00,00,AM,00:07:02,00:07:02
423,03,07,07,00,00,AM,00:07:03,00:07:03
424,04,07,07,00,00,AM,00:07:04,00:07:04
425,05,07,07,00,00,AM,00:07:05,00:07:05
426,06,07,07,00,00,AM,00:07:06,00:07:06
427,07,07,07,00,00,AM,00:07:07,00:07:07
428,08,07,07,00,00,AM,00:07:08,00:07:08
429,09,07,07,00,00,AM,00:07:09,00:07:09
430,10,07,07,00,00,AM,00:07:10,00:07:10
431,11,07,07,00,00,AM,00:07:11,00:07:11
432,12,07,07,00,00,AM,00:07:12,00:07:12
433,13,07,07,00,00,AM,00:07:13,00:07:13
434,14,07,07,00,00,AM,00:07:14,00:07:14
435,15,07,07,00,00,AM,00:07:15,00:07:15
436,16,07,07,00,00,AM,00:07:16,00:07:16
437,17,07,07,00,00,AM,00:07:17,00:07:17
438,18,07,07,00,00,AM,00:07:18,00:07:18
439,19,07,07,00,00,AM,00:07:19,00:07:19
440,20,07,07,00,00,AM,00:07:20,00:07:20
441,21,07,07,00,00,AM,00:07:21,00:07:21
442,22,07,07,00,00,AM,00:07:22,00:07:22
443,23,07,07,00,00,AM,00:07:23,00:07:23
444,24,07,07,00,00,AM,00:07:24,00:07:24
445,25,07,07,00,00,AM,00:07:25,00:07:25
446,26,07,07,00,00,AM,00:07:26,00:07:26
447,27,07,07,00,00,AM,00:07:27,00:07:27
448,28,07,07,00,00,AM,00:07:28,00:07:28
449,29,07,07,00,00,AM,00:07:29,00:07:29
450,30,07,07,00,00,AM,00:07:30,00:07:30
451,31,07,07,00,00,AM,00:07:31,00:07:31
452,32,07,07,00,00,AM,00:07:32,00:07:32
453,33,07,07,00,00,AM,00:07:33,00:07:33
454,34,07,07,00,00,AM,00:07:34,00:07:34
455,35,07,07,00,00,AM,00:07:35,00:07:35
456,36,07,07,00,00,AM,00:07:36,00:07:36
457,37,07,07,00,00,AM,00:07:37,00:07:37
458,38,07,07,00,00,AM,00:07:38,00:07:38
459,39,07,07,00,00,AM,00:07:39,00:07:39
460,40,07,07,00,00,AM,00:07:40,00:07:40
461,41,07,07,00,00,AM,00:07:41,00:07:41
462,42,07,07,00,00,AM,00:07:42,00:07:42
463,43,07,07,00,00,AM,00:07:43,00:07:43
464,44,07,07,00,00,AM,00:07:44,00:07:44
465,45,07,07,00,00,AM,00:07:45,00:07:45
466,46,07,07,00,00,AM,00:07:46,00:07:46
467,47,07,07,00,00,AM,00:07:47,00:07:47
468,48,07,07,00,00,AM,00:07:48,00:07:48
469,49,07,07,00,00,AM,00:07:49,00:07:49
470,50,07,07,00,00,AM,00:07:50,00:07:50
471,51,07,07,00,00,AM,00:07:51,00:07:51
472,52,07,07,00,00,AM,00:07:52,00:07:52
473,53,07,07,00,00,AM,00:07:53,00:07:53
474,54,07,07,00,00,AM,00:07:54,00:07:54
475,55,07,07,00,00,AM,00:07:55,00:07:55
476,56,07,07,00,00,AM,00:07:56,00:07:56
477,57,07,07,00,00,AM,00:07:57,00:07:57
478,58,07,07,00,00,AM,00:07:58,00:07:58
479,59,07,07,00,00,AM,00:07:59,00:07:59
480,00,08,08,00,00,AM,00:08:00,00:08:00
481,01,08,08,00,00,AM,00:08:01,00:08:01
482,02,08,08,00,00,AM,00:08:02,00:08:02
483,03,08,08,00,00,AM,00:08:03,00:08:03
484,04,08,08,00,00,AM,00:08:04,00:08:04
485,05,08,08,00,00,AM,00:08:05,00:08:05
486,06,08,08,00,00,AM,00:08:06,00:08:06
487,07,08,08,00,00,AM,00:08:07,00:08:07
488,08,08,08,00,00,AM,00:08:08,00:08:08
489,09,08,08,00,00,AM,00:08:09,00:08:09
490,10,08,08,00,00,AM,00:08:10,00:08:10
491,11,08,08,00,00,AM,00:08:11,00:08:11
492,12,08,08,00,00,AM,00:08:12,00:08:12
493,13,08,08,00,00,AM,00:08:13,00:08:13
494,14,08,08,00,00,AM,00:08:14,00:08:14
495,15,08,08,00,00,AM,00:08:15,00:08:15
496,16,08,08,00,00,AM,00:08:16,00:08:16
497,17,08,08,00,00,AM,00:08:17,00:08:17
498,18,08,08,00,00,AM,00:08:18,00:08:18
499,19,08,08,00,00,AM,00:08:19,00:08:19
500,20,08,08,00,00,AM,00:08:20,00:08:20
501,21,08,08,00,00,AM,00:08:21,00:08:21
502,22,08,08,00,00,AM,00:08:22,00:08:22
503,23,08,08,00,00,AM,00:08:23,00:08:23
504,24,08,08,00,00,AM,00:08:24,00:08:24
505,25,08,08,00,00,AM,00:08:25,00:08:25
506,26,08,08,00,00,AM,00:08:26,00:08:26
507,27,08,08,00,00,AM,00:08:27,00:08:27
508,28,08,08,00,00,AM,00:08:28,00:08:28
509,29,08,08,00,00,AM,00:08:29,00:08:29
510,30,08,08,00,00,AM,00:08:30,00:08:30
511,31,08,08,00,00,AM,00:08:31,00:08:31
512,32,08,08,00,00,AM,00:08:32,00:08:32
513,33,08,08,00,00,AM,00:08:33,00:08:33
514,34,08,08,00,00,AM,00:08:34,00:08:34
